NB_Defect_Postponed_Major;0
NB_Defect_Postponed_Critical;0
NB_Defect_Postponed_Average;3
NB_Defect_Postponed_Minor;0
NB_Defect_Corrected;0
NB_Defect_Corrected_Major;0
NB_Defect_Corrected_Critical;0
NB_Defect_Corrected_Average;0
NB_Defect_Corrected_Minor;0
NB_Defect_UnderAnalysis;5
NB_Defect_UnderAnalysis_Major;0
NB_Defect_UnderAnalysis_Critical;0
NB_Defect_UnderAnalysis_Average;5
NB_Defect_UnderAnalysis_Minor;0
